Neighbors of the atoms after initialization             
Time of initialization: 19/01/2022 01:23:58 CET

Atom number: 0
  Position of Atom: [-1.67959619 -1.67959619 -1.67959619]
  Number of neighbors: 12
  Index           Position           Distance
  27     -0.8398   0.0000   0.8398   2.38
  28      0.0000   0.0000   0.0000   1.19
  29      0.8398   0.8398   0.0000   1.19
  30      0.0000   0.8398   0.8398   2.06
  31      0.8398   0.0000   0.8398   1.68

Atom number: 16
  Position of Atom: [-1.67959619 -1.67959619  0.        ]
  Number of neighbors: 8
  Index           Position           Distance
  17     -0.8398  -0.8398   0.0000   1.19
  18     -1.6796  -0.8398   0.8398   1.19
  19     -0.8398  -1.6796   0.8398   1.19
  20      0.0000  -1.6796   0.0000   1.68
  22      0.0000  -0.8398   0.8398   2.06
  24     -1.6796   0.0000   0.0000   1.68
  27     -0.8398   0.0000   0.8398   2.06
  28      0.0000   0.0000   0.0000   2.38

Atom number: 17
  Position of Atom: [-0.8397981 -0.8397981  0.       ]
  Number of neighbors: 14
  Index           Position           Distance
  18     -1.6796  -0.8398   0.8398   1.19
  19     -0.8398  -1.6796   0.8398   1.19
  20      0.0000  -1.6796   0.0000   1.19
  21      0.8398  -0.8398   0.0000   1.68
  22      0.0000  -0.8398   0.8398   1.19
  23      0.8398  -1.6796   0.8398   2.06
  24     -1.6796   0.0000   0.0000   1.19
  25     -0.8398   0.8398   0.0000   1.68
  26     -1.6796   0.8398   0.8398   2.06
  27     -0.8398   0.0000   0.8398   1.19
  28      0.0000   0.0000   0.0000   1.19
  29      0.8398   0.8398   0.0000   2.38
  30      0.0000   0.8398   0.8398   2.06
  31      0.8398   0.0000   0.8398   2.06

Atom number: 18
  Position of Atom: [-1.67959619 -0.8397981   0.8397981 ]
  Number of neighbors: 9
  Index           Position           Distance
  19     -0.8398  -1.6796   0.8398   1.19
  20      0.0000  -1.6796   0.0000   2.06
  22      0.0000  -0.8398   0.8398   1.68
  24     -1.6796   0.0000   0.0000   1.19
  25     -0.8398   0.8398   0.0000   2.06
  26     -1.6796   0.8398   0.8398   1.68
  27     -0.8398   0.0000   0.8398   1.19
