
Cutoff distance for the list =      2.70000

List of neighbours of atom =     1
   Position of atom     1 =     -2.39273    -2.42260    -2.57073
   Number of neighbours    =    65
   Index       Position (reduced units)    Distance (reduced units)
   65    -0.70898     0.89370    -0.93173     2.04015
   66     0.02312     1.68759    -0.79905     2.09573
   67    -0.71987     1.61456     0.07900     2.20498
   70     1.57834     1.65415    -0.87962     2.13409
   73    -2.46985    -2.50876     0.92771     2.54975
   74    -1.74452    -1.72551     0.93666     2.54436
   75    -2.59860    -1.63568     1.70078     2.08519
   76    -1.70934    -2.50961     1.63362     1.71989
   77    -0.88477    -2.55197     0.81920     2.62930
   79    -0.82511    -1.70314     1.55124     2.15662
   80    -0.05181    -2.60902     1.53442     2.44546
   84     1.77061    -2.52949     1.73772     2.26273
   88    -1.64017    -0.79619     1.61875     2.44527
   98    -1.70362     1.74198     0.77696     2.58238
   99    -2.47450     1.51018     1.76875     2.03829
  103    -0.84826     1.66708     1.54481     2.16697

List of neighbours of atom =     5
   Position of atom     5 =     -0.89068    -2.47782    -2.53344
   Number of neighbours    =    62
   Index       Position (reduced units)    Distance (reduced units)
    6    -0.02695    -1.72484    -2.51059     1.14609
    7    -0.75199    -1.42334    -1.71307     1.34320
    8    -0.00409    -2.60286    -1.72350     1.20734
    9     0.61491    -2.58963    -2.67224     1.51609
   10     1.70229    -1.76287    -2.48345     2.54867
   11     0.86774    -1.75363    -1.60462     2.11641
   12     1.71689    -2.54461    -1.55753     2.62063
   13    -2.53952    -0.89073    -2.40280     2.29229
   14    -1.82498    -0.05379    -2.68761     2.60243
   16    -1.74249    -0.59686    -1.71990     2.21933
   17    -0.86254    -0.75232    -2.60712     1.72730
   18     0.08466    -0.06892    -2.39599     2.60250
   19    -0.79907    -0.11139    -1.71308     2.50627
   20     0.18390    -0.78813    -1.65091     2.18830
   21     1.01199    -0.91200    -2.48534     2.46460
   25    -2.69245     0.87266    -2.48011     2.46974
   26    -1.80601     1.68502    -2.38584     1.27550
   27    -2.54312     1.57079    -1.52134     2.17609
   28    -1.68438     0.70969    -1.68816     2.18442
   29    -1.09935     0.69685    -2.56820     1.87608
   30    -0.28631     1.69008    -2.55256     1.06022
   31    -0.84230     1.77178    -1.61317     1.21328
